iter	Passed	Remaining
446	1202	2831
447	1205	2829
448	1207	2827
449	1210	2823
450	1212	2821
451	1215	2818
452	1217	2814
453	1220	2811
454	1222	2808
455	1225	2805
456	1228	2803
457	1231	2800
458	1233	2797
459	1236	2794
460	1238	2791
461	1241	2788
462	1243	2785
463	1246	2782
464	1248	2779
465	1251	2776
466	1253	2772
467	1255	2769
468	1258	2766
469	1261	2764
470	1263	2761
471	1266	2758
472	1268	2755
473	1271	2752
474	1273	2748
475	1276	2746
476	1279	2743
477	1281	2739
478	1283	2736
479	1286	2733
480	1288	2729
481	1291	2726
482	1293	2723
483	1296	2720
484	1298	2717
485	1301	2715
486	1303	2711
487	1306	2708
488	1309	2706
489	1311	2703
490	1313	2699
491	1316	2697
492	1318	2693
493	1320	2690
494	1323	2686
495	1326	2684
496	1328	2681
497	1331	2678
498	1333	2675
499	1336	2672
500	1338	2669
501	1341	2666
502	1343	2663
503	1346	2660
504	1348	2656
505	1350	2653
506	1353	2650
507	1356	2648
508	1358	2645
509	1361	2642
510	1364	2640
511	1366	2636
512	1368	2633
513	1371	2630
514	1374	2628
515	1376	2625
516	1379	2622
517	1381	2619
518	1384	2616
519	1386	2613
520	1389	2610
521	1391	2607
522	1394	2604
523	1396	2601
524	1398	2597
525	1401	2594
526	1404	2592
527	1406	2589
528	1409	2586
529	1411	2583
530	1414	2580
531	1416	2577
532	1419	2575
533	1422	2572
534	1424	2569
535	1427	2566
536	1429	2564
537	1432	2561
538	1435	2559
539	1438	2557
540	1441	2555
541	1443	2552
542	1446	2548
543	1448	2545
544	1450	2542
545	1453	2540
546	1456	2537
547	1458	2534
548	1461	2531
549	1463	2528
550	1466	2525
551	1468	2522
552	1471	2520
553	1474	2517
554	1476	2514
555	1479	2511
556	1482	2509
557	1484	2506
558	1487	2503
559	1489	2501
560	1492	2497
561	1494	2495
562	1497	2492
563	1500	2490
564	1503	2487
565	1505	2484
566	1508	2482
567	1511	2479
568	1513	2476
569	1516	2473
570	1518	2471
571	1521	2468
572	1523	2465
573	1526	2462
574	1528	2459
575	1531	2456
576	1534	2454
577	1536	2451
578	1539	2448
579	1541	2445
580	1544	2442
581	1547	2440
582	1549	2437
583	1552	2434
584	1554	2431
585	1557	2428
586	1559	2425
587	1562	2422
588	1565	2420
589	1567	2418
590	1570	2415
591	1573	2412
592	1575	2409
593	1577	2406
594	1580	2404
595	1583	2401
596	1586	2399
597	1588	2396
598	1590	2392
599	1593	2389
600	1595	2387
601	1598	2384
602	1600	2381
603	1603	2378
604	1606	2376
605	1608	2373
606	1611	2371
607	1614	2368
608	1617	2365
609	1619	2362
610	1621	2359
611	1624	2357
612	1627	2354
613	1630	2352
614	1632	2349
615	1635	2346
616	1637	2343
617	1640	2340
618	1642	2338
619	1645	2335
620	1648	2332
621	1650	2330
622	1653	2327
623	1655	2324
624	1658	2321
625	1661	2319
626	1664	2317
627	1666	2314
628	1669	2311
629	1672	2309
630	1674	2306
631	1677	2303
632	1680	2301
633	1682	2298
634	1685	2295
635	1687	2292
636	1690	2289
637	1693	2287
638	1695	2284
639	1698	2282
640	1701	2279
641	1703	2277
642	1706	2274
643	1709	2272
644	1712	2269
645	1714	2266
646	1717	2263
647	1719	2260
648	1721	2257
649	1724	2255
650	1743	2273
651	1745	2270
652	1747	2267
653	1750	2264
654	1752	2260
655	1754	2257
656	1757	2254
657	1759	2251
658	1761	2248
659	1765	2246
660	1768	2245
661	1771	2241
662	1773	2239
663	1776	2236
664	1778	2233
665	1780	2230
666	1783	2226
667	1785	2223
668	1787	2220
669	1790	2218
670	1792	2214
671	1795	2211
672	1797	2209
673	1800	2206
674	1802	2203
675	1805	2200
676	1807	2197
677	1809	2194
678	1812	2190
679	1814	2187
680	1816	2184
681	1818	2181
682	1821	2178
683	1823	2175
684	1826	2172
685	1828	2169
686	1830	2166
687	1832	2163
688	1835	2160
689	1838	2157
690	1841	2155
691	1843	2152
692	1846	2150
693	1848	2147
694	1851	2144
695	1854	2141
696	1856	2139
697	1859	2136
698	1861	2133
699	1864	2130
700	1866	2127
701	1869	2124
702	1871	2122
703	1874	2119
704	1876	2116
705	1879	2113
706	1881	2110
707	1884	2107
708	1886	2104
709	1889	2102
710	1891	2099
711	1894	2096
712	1896	2093
713	1899	2090
714	1901	2088
715	1904	2085
716	1907	2082
717	1909	2080
718	1912	2077
719	1915	2074
720	1918	2073
721	1921	2070
722	1923	2067
723	1926	2064
724	1928	2061
725	1931	2058
726	1933	2056
727	1936	2053
728	1939	2050
729	1941	2048
730	1944	2045
731	1946	2042
732	1949	2039
733	1951	2037
734	1954	2034
735	1956	2031
736	1959	2028
737	1961	2025
738	1964	2023
739	1967	2020
740	1970	2018
741	1973	2015
742	1975	2012
743	1978	2010
744	1980	2007
745	1983	2005
746	1986	2002
747	1988	1999
748	1991	1996
749	1993	1993
750	1996	1990
751	1998	1988
752	2001	1985
753	2003	1982
754	2006	1979
755	2008	1976
756	2011	1973
757	2013	1971
758	2016	1968
759	2018	1965
760	2020	1962
761	2023	1959
762	2025	1956
763	2027	1953
764	2030	1951
765	2032	1947
766	2035	1944
767	2037	1942
768	2039	1939
769	2042	1936
770	2045	1933
771	2048	1931
772	2050	1928
773	2053	1925
774	2055	1923
775	2058	1920
776	2060	1917
777	2063	1915
778	2066	1912
779	2069	1909
780	2071	1906
781	2074	1904
782	2076	1901
783	2079	1899
784	2082	1896
785	2085	1894
786	2087	1891
787	2089	1888
788	2092	1885
789	2094	1882
790	2097	1879
791	2099	1876
792	2102	1874
793	2104	1871
794	2106	1868
795	2109	1865
796	2112	1863
797	2115	1860
798	2117	1857
799	2120	1855
800	2122	1852
801	2124	1849
802	2127	1846
803	2130	1843
804	2132	1841
805	2134	1838
806	2137	1835
807	2139	1832
808	2142	1829
809	2144	1827
810	2147	1824
811	2149	1821
812	2152	1818
813	2154	1815
814	2157	1813
815	2160	1810
816	2162	1808
817	2165	1805
818	2167	1802
819	2170	1799
820	2173	1797
821	2175	1794
822	2178	1791
823	2180	1789
824	2183	1786
825	2185	1783
826	2188	1780
827	2191	1778
828	2193	1775
829	2196	1773
830	2199	1770
831	2201	1767
832	2204	1764
833	2206	1762
834	2209	1759
835	2211	1756
836	2213	1753
837	2216	1750
838	2218	1747
839	2221	1745
840	2223	1742
841	2226	1739
842	2228	1736
843	2231	1734
844	2233	1731
845	2235	1728
846	2238	1725
847	2240	1722
848	2243	1720
849	2245	1717
850	2247	1714
851	2249	1711
852	2252	1708
853	2255	1705
854	2257	1703
855	2259	1700
856	2262	1697
857	2264	1694
858	2267	1692
859	2270	1689
860	2273	1687
861	2275	1684
862	2278	1681
863	2280	1678
864	2282	1675
865	2285	1672
866	2288	1670
867	2290	1667
868	2292	1664
869	2295	1661
870	2297	1659
871	2299	1656
872	2302	1653
873	2305	1650
874	2307	1648
875	2309	1645
876	2312	1642
877	2314	1639
878	2316	1636
879	2319	1634
880	2321	1631
881	2324	1628
882	2326	1625
883	2328	1622
884	2330	1619
885	2333	1617
886	2336	1614
887	2338	1611
888	2340	1608
889	2342	1605
890	2345	1602
891	2347	1599
892	2349	1597
893	2352	1594
894	2355	1591
895	2357	1589
896	2359	1586
897	2361	1583
898	2364	1580
899	2366	1577
900	2369	1575
901	2371	1572
902	2374	1569
903	2376	1566
904	2378	1563
905	2381	1561
906	2383	1558
907	2386	1555
908	2388	1553
909	2391	1550
910	2393	1547
911	2395	1544
912	2398	1542
913	2401	1539
914	2403	1536
915	2406	1533
916	2408	1531
917	2410	1528
918	2413	1525
919	2416	1523
920	2419	1520
921	2421	1518
922	2424	1515
923	2426	1512
924	2429	1510
925	2432	1507
926	2434	1505
927	2437	1502
928	2440	1499
929	2442	1496
930	2444	1494
931	2448	1491
932	2450	1489
933	2453	1486
934	2455	1483
935	2457	1480
936	2460	1478
937	2463	1475
938	2465	1473
939	2468	1470
940	2470	1467
941	2472	1464
942	2474	1461
943	2477	1459
944	2479	1456
945	2482	1453
946	2484	1450
947	2486	1448
948	2489	1445
949	2491	1442
950	2493	1439
951	2496	1437
952	2499	1434
953	2501	1431
954	2503	1428
955	2505	1425
956	2508	1423
957	2511	1420
958	2513	1417
959	2515	1415
960	2517	1412
961	2520	1409
962	2522	1406
963	2524	1403
964	2527	1401
965	2529	1398
966	2532	1395
967	2534	1392
968	2536	1390
969	2539	1387
970	2542	1384
971	2545	1382
972	2548	1380
973	2550	1377
974	2553	1374
975	2555	1372
976	2558	1369
977	2561	1367
978	2564	1364
979	2566	1361
980	2568	1359
981	2571	1356
982	2573	1353
983	2576	1351
984	2579	1348
985	2581	1345
986	2583	1342
987	2585	1340
988	2588	1337
989	2591	1334
990	2593	1332
991	2596	1329
992	2598	1326
993	2600	1323
994	2602	1321
995	2605	1318
996	2608	1315
997	2610	1313
998	2613	1310
999	2615	1307
1000	2617	1304
1001	2620	1302
1002	2622	1299
1003	2625	1297
1004	2627	1294
1005	2630	1291
1006	2632	1288
1007	2634	1286
1008	2637	1283
1009	2640	1280
1010	2642	1278
1011	2645	1275
1012	2647	1272
1013	2649	1269
1014	2652	1267
1015	2655	1264
1016	2657	1262
1017	2660	1259
1018	2662	1256
1019	2665	1254
1020	2667	1251
1021	2669	1248
1022	2672	1246
1023	2674	1243
1024	2677	1240
1025	2680	1238
1026	2682	1235
1027	2684	1232
1028	2687	1230
1029	2690	1227
1030	2693	1225
1031	2695	1222
1032	2697	1219
1033	2700	1216
1034	2702	1214
1035	2705	1211
1036	2708	1209
1037	2711	1206
1038	2713	1203
1039	2715	1201
1040	2718	1198
1041	2721	1195
1042	2723	1193
1043	2725	1190
1044	2727	1187
1045	2730	1185
1046	2733	1182
1047	2736	1180
1048	2738	1177
1049	2741	1174
1050	2743	1172
1051	2746	1169
1052	2748	1166
1053	2751	1164
1054	2754	1161
1055	2756	1158
1056	2759	1156
1057	2761	1153
1058	2763	1150
1059	2766	1148
1060	2769	1145
1061	2772	1143
1062	2774	1140
1063	2776	1137
1064	2779	1135
1065	2781	1132
1066	2784	1129
1067	2786	1127
1068	2789	1124
1069	2791	1121
1070	2793	1119
1071	2796	1116
1072	2798	1113
1073	2801	1111
1074	2804	1108
1075	2806	1105
1076	2808	1103
1077	2811	1100
1078	2813	1097
1079	2816	1095
1080	2819	1092
1081	2821	1090
1082	2824	1087
1083	2826	1084
1084	2828	1082
1085	2831	1079
1086	2834	1076
1087	2836	1074
1088	2839	1071
1089	2841	1068
1090	2844	1066
1091	2846	1063
1092	2849	1060
1093	2851	1058
1094	2854	1055
1095	2856	1052
1096	2858	1050
1097	2861	1047
1098	2863	1044
1099	2866	1042
1100	2869	1039
1101	2871	1037
1102	2873	1034
1103	2876	1031
1104	2878	1029
1105	2881	1026
1106	2883	1023
1107	2886	1021
1108	2888	1018
1109	2891	1015
1110	2893	1013
1111	2896	1010
1112	2898	1007
1113	2901	1005
1114	2904	1002
1115	2906	1000
1116	2909	997
1117	2911	994
1118	2914	992
1119	2917	989
1120	2920	987
1121	2922	984
1122	2925	981
1123	2927	979
1124	2930	976
1125	2933	974
1126	2936	971
1127	2938	969
1128	2941	966
1129	2943	963
1130	2946	961
1131	2949	958
1132	2951	956
1133	2954	953
1134	2956	950
1135	2959	948
1136	2962	945
1137	2965	943
1138	2967	940
1139	2970	938
1140	2973	935
1141	2975	932
1142	2978	930
1143	2980	927
1144	2982	924
1145	2984	921
1146	2986	919
1147	2989	916
1148	2991	913
1149	2994	911
1150	2996	908
1151	2998	905
1152	3001	903
1153	3003	900
1154	3005	897
1155	3008	895
1156	3011	892
1157	3013	890
1158	3015	887
1159	3018	884
1160	3020	882
1161	3023	879
1162	3026	876
1163	3029	874
1164	3032	871
1165	3034	869
1166	3036	866
1167	3039	864
1168	3042	861
1169	3045	858
1170	3047	856
1171	3050	853
1172	3052	850
1173	3054	848
1174	3057	845
1175	3060	843
1176	3062	840
1177	3065	837
1178	3068	835
1179	3070	832
1180	3073	830
1181	3076	827
1182	3078	824
1183	3081	822
1184	3083	819
1185	3085	817
1186	3088	814
1187	3091	811
1188	3093	809
1189	3095	806
1190	3098	803
1191	3100	801
1192	3103	798
1193	3106	796
1194	3108	793
1195	3111	790
1196	3113	788
1197	3116	785
1198	3119	783
1199	3122	780
1200	3124	777
1201	3126	775
1202	3129	772
1203	3131	769
1204	3134	767
1205	3136	764
1206	3139	762
1207	3142	759
1208	3144	756
1209	3147	754
1210	3149	751
1211	3151	748
1212	3154	746
1213	3157	743
1214	3159	741
1215	3161	738
1216	3164	735
1217	3166	733
1218	3169	730
1219	3171	727
1220	3174	725
1221	3176	722
1222	3178	719
1223	3181	717
1224	3183	714
1225	3186	712
1226	3188	709
1227	3190	706
1228	3193	704
1229	3195	701
1230	3197	698
1231	3200	696
1232	3202	693
1233	3205	690
1234	3207	688
1235	3209	685
1236	3211	682
1237	3214	680
1238	3217	677
1239	3220	675
1240	3222	672
1241	3225	669
1242	3227	667
1243	3229	664
1244	3232	662
1245	3235	659
1246	3237	656
1247	3240	654
1248	3242	651
1249	3244	648
1250	3247	646
1251	3251	644
1252	3254	641
1253	3256	638
1254	3259	636
1255	3261	633
1256	3264	631
1257	3266	628
1258	3269	625
1259	3271	623
1260	3274	620
1261	3276	617
1262	3278	615
1263	3282	612
1264	3284	610
1265	3286	607
1266	3289	604
1267	3291	602
1268	3293	599
1269	3296	596
1270	3298	594
1271	3301	591
1272	3303	589
1273	3305	586
1274	3308	583
1275	3310	581
1276	3313	578
1277	3315	575
1278	3318	573
1279	3320	570
1280	3322	568
1281	3325	565
1282	3327	562
1283	3330	560
1284	3332	557
1285	3335	554
1286	3337	552
1287	3339	549
1288	3341	547
1289	3344	544
1290	3347	541
1291	3349	539
1292	3352	536
1293	3354	534
1294	3357	531
1295	3359	528
1296	3361	526
1297	3364	523
1298	3366	520
1299	3369	518
1300	3371	515
1301	3373	513
1302	3375	510
1303	3378	507
1304	3380	505
1305	3383	502
1306	3385	499
1307	3387	497
1308	3390	494
1309	3392	492
1310	3395	489
1311	3398	486
1312	3400	484
1313	3403	481
1314	3405	479
1315	3407	476
1316	3410	473
1317	3412	471
1318	3415	468
1319	3417	466
1320	3420	463
1321	3422	460
1322	3424	458
1323	3427	455
1324	3429	453
1325	3432	450
1326	3434	447
1327	3437	445
1328	3439	442
1329	3441	439
1330	3444	437
1331	3446	434
1332	3449	432
1333	3451	429
1334	3453	426
1335	3456	424
1336	3458	421
1337	3461	419
1338	3464	416
1339	3466	413
1340	3468	411
1341	3470	408
1342	3473	406
1343	3476	403
1344	3478	400
1345	3480	398
1346	3483	395
1347	3485	393
1348	3487	390
1349	3490	387
1350	3493	385
1351	3495	382
1352	3497	380
1353	3500	377
1354	3502	374
1355	3504	372
1356	3507	369
1357	3510	367
1358	3512	364
1359	3514	361
1360	3516	359
1361	3519	356
1362	3521	354
1363	3525	351
1364	3528	348
1365	3530	346
1366	3532	343
1367	3535	341
1368	3537	338
1369	3540	335
1370	3542	333
1371	3545	330
1372	3548	328
1373	3550	325
1374	3552	322
1375	3555	320
1376	3558	317
1377	3560	315
1378	3563	312
1379	3565	310
1380	3567	307
1381	3570	304
1382	3573	302
1383	3575	299
1384	3577	297
1385	3580	294
1386	3582	291
1387	3585	289
1388	3588	286
1389	3590	284
1390	3592	281
1391	3595	278
1392	3597	276
1393	3599	273
1394	3601	271
1395	3604	268
1396	3607	265
1397	3609	263
1398	3611	260
1399	3614	258
1400	3616	255
1401	3618	252
1402	3621	250
1403	3624	247
1404	3626	245
1405	3628	242
1406	3631	240
1407	3633	237
1408	3636	234
1409	3639	232
1410	3641	229
1411	3644	227
1412	3646	224
1413	3648	221
1414	3651	219
1415	3653	216
1416	3656	214
1417	3658	211
1418	3660	208
1419	3663	206
1420	3665	203
1421	3668	201
1422	3670	198
1423	3673	196
1424	3675	193
1425	3677	190
1426	3679	188
1427	3681	185
1428	3684	183
1429	3687	180
1430	3690	177
1431	3692	175
1432	3695	172
1433	3697	170
1434	3700	167
1435	3702	165
1436	3705	162
1437	3707	159
1438	3710	157
1439	3712	154
1440	3715	152
1441	3717	149
1442	3720	146
1443	3722	144
1444	3724	141
1445	3727	139
1446	3729	136
1447	3732	134
1448	3734	131
1449	3737	128
1450	3739	126
1451	3741	123
1452	3744	121
1453	3746	118
1454	3749	115
1455	3752	113
1456	3754	110
1457	3756	108
1458	3759	105
1459	3761	103
1460	3764	100
1461	3767	97
1462	3769	95
1463	3771	92
1464	3774	90
1465	3776	87
1466	3778	85
1467	3781	82
1468	3783	79
1469	3786	77
1470	3788	74
1471	3791	72
1472	3793	69
1473	3795	66
1474	3798	64
1475	3801	61
1476	3803	59
1477	3805	56
1478	3807	54
1479	3810	51
1480	3813	48
1481	3815	46
1482	3818	43
1483	3820	41
1484	3822	38
1485	3825	36
1486	3827	33
1487	3831	30
1488	3833	28
1489	3836	25
1490	3838	23
1491	3841	20
1492	3843	18
1493	3846	15
1494	3848	12
1495	3851	10
1496	3853	7
1497	3855	5
1498	3858	2
1499	3861	0
