iter	Logloss
0	0.6768380012
1	0.6584381406
2	0.6440269323
3	0.6287647915
4	0.6177793398
5	0.605180054
6	0.5961214237
7	0.5864641278
8	0.5781091209
9	0.570615054
10	0.5615080886
11	0.5558230624
12	0.5493322388
13	0.5414648982
14	0.5365573993
15	0.5303368541
16	0.5251357898
17	0.5210685038
18	0.5152513874
19	0.5092793012
20	0.5061245502
21	0.5020884293
22	0.4984875813
23	0.4947232726
24	0.4919068925
25	0.4896532454
26	0.4853298355
27	0.4825979644
28	0.4792073856
29	0.4764623923
30	0.4734323394
31	0.4706300681
32	0.4677690772
33	0.4651249368
34	0.4629779886
35	0.4611603601
36	0.4592166315
37	0.4579813804
38	0.455912658
39	0.4540101672
40	0.4516130161
41	0.4500934256
42	0.4481703174
43	0.4460257009
44	0.4446826322
45	0.4429580553
46	0.4422984428
47	0.4409301228
48	0.4397151358
49	0.4386370583
50	0.437677615
51	0.4367178011
52	0.4360640518
53	0.435053364
54	0.4331239204
55	0.4319753744
56	0.4305071243
57	0.4297616193
58	0.4289708943
59	0.427918885
60	0.4275037179
61	0.4264991188
62	0.4256818452
63	0.4249623173
64	0.423863916
65	0.4225139685
66	0.4210023951
67	0.4201389223
68	0.4190829344
69	0.4181945597
70	0.4171282852
71	0.4165877517
72	0.4157433499
73	0.4151546323
74	0.4139010216
75	0.4134544884
76	0.4124729963
77	0.4120887602
78	0.4116939112
79	0.4109832118
80	0.4102851704
81	0.4096807853
82	0.4088424374
83	0.4076571795
84	0.4070294281
85	0.405940581
86	0.4053160388
87	0.4042350255
88	0.4035793729
89	0.4030527221
90	0.40264457
91	0.4018568477
92	0.4015171833
93	0.400953508
94	0.4005666059
95	0.3998586916
96	0.3991558013
97	0.3987289859
98	0.3983180914
99	0.397628167
100	0.396933428
101	0.3965201671
102	0.3957686427
103	0.3952332969
104	0.394510495
105	0.3938487288
106	0.3934452218
107	0.3929297101
108	0.3925911652
109	0.3918341049
110	0.3913408836
111	0.3907238087
112	0.3903478255
113	0.3899883269
114	0.3896032578
115	0.3890573004
116	0.3887926886
117	0.3884959327
118	0.3881474385
119	0.3878067751
120	0.3873357377
121	0.3868230527
122	0.3864583009
123	0.3860924763
124	0.3857373251
125	0.3853119971
126	0.3846527535
127	0.3843720598
128	0.3838918481
129	0.3835920887
130	0.3832837082
131	0.3830112646
132	0.3823083439
133	0.3820155343
134	0.381635149
135	0.3810231885
136	0.3804530321
137	0.3801077295
138	0.3799192207
139	0.3793377765
140	0.3788584829
141	0.3784716012
142	0.3780123499
143	0.3773127019
144	0.3770283124
145	0.3765672543
146	0.3762874098
147	0.3760186296
148	0.3756983115
149	0.3748954887
150	0.3744600843
151	0.3740929727
152	0.3735012106
153	0.373017933
154	0.3728269282
155	0.372183044
156	0.3719347314
157	0.371655333
158	0.3713907671
159	0.3710781963
160	0.3707778802
161	0.3704897789
162	0.3701176239
163	0.3698265426
164	0.3695899043
165	0.3693519793
166	0.3688283621
167	0.368595967
168	0.3682650525
169	0.3679487522
170	0.3677642239
171	0.3675850116
172	0.367305667
173	0.3670580904
174	0.366806572
175	0.3662988546
176	0.3660311304
177	0.3658996546
178	0.3655821398
179	0.365320585
180	0.3646749341
181	0.3644481693
182	0.3642671922
183	0.3640721254
184	0.3637164215
185	0.3632708048
186	0.363034945
187	0.3628083129
188	0.3624457971
189	0.3623051323
190	0.3618629122
191	0.3615615542
192	0.3612896745
193	0.361044473
194	0.3606179254
195	0.3604316021
196	0.3602882912
197	0.3600459944
198	0.35972748
199	0.359363065
200	0.35919328
201	0.3590236046
202	0.3587898984
203	0.3585945487
204	0.3585031501
205	0.3582159082
206	0.3580035912
207	0.357835805
208	0.3576498463
209	0.357400291
210	0.3571352068
211	0.3569751084
212	0.3564735203
213	0.3561306604
214	0.355922779
